Year,China
1961-01-01,49.5570501829631
1962-01-01,46.6851785043274
1963-01-01,50.09730327102321
1964-01-01,59.06225489018711
1965-01-01,69.70915311531468
1966-01-01,75.87943477618309
1967-01-01,72.05702855967411
1968-01-01,69.9934978923132
1969-01-01,78.7188204779257
1970-01-01,91.5062113063745
1971-01-01,98.56202384418131
1972-01-01,112.159813640376
1973-01-01,136.769878359668
1974-01-01,142.254742077706
1975-01-01,161.162492226686
1976-01-01,151.627687364405
1977-01-01,172.349014326931
1978-01-01,148.38211152019198
1979-01-01,176.85652540572895
1980-01-01,189.64999246398702
1981-01-01,194.369049090197
1982-01-01,203.54962721160598
1983-01-01,228.950200773115
1984-01-01,258.082147252256
1985-01-01,307.47958585233897
1986-01-01,298.805792971544
1987-01-01,271.349773463863
1988-01-01,310.722213686031
1989-01-01,345.957485871286
1990-01-01,358.973230048399
1991-01-01,381.454703832753
1992-01-01,424.9340659340661
1993-01-01,442.8745963871189
1994-01-01,562.2611298687739
1995-01-01,732.0320452177659
1996-01-01,860.8440980491209
1997-01-01,958.15942483534
1998-01-01,1025.27690207873
1999-01-01,1089.44710870589
2000-01-01,1205.26067839196
2001-01-01,1332.2347198898199
2002-01-01,1461.90648785792
2003-01-01,1649.92871813459
2004-01-01,1941.7456021650896
2005-01-01,2268.5989041162798
2006-01-01,2729.7840319060897
2007-01-01,3523.0943148209003
2008-01-01,4558.4310734382
2009-01-01,5059.41973826741
2010-01-01,6039.65850848559
2011-01-01,7492.43209781011
2012-01-01,8461.62316271407
2013-01-01,9490.602600148492
2014-01-01,10351.1117622164
2015-01-01,10866.443998394201
